Model,Accuracy,Precision,Recall,F1-score,Family
Linear SVM,0.7692,0.7958,0.728,0.767,Baseline (TF-IDF)
Logistic Regression,0.7654,0.7915,0.7327,0.7655,Baseline (TF-IDF)
bert-base-multilingual-cased,0.7593429158110883,0.7558661319938169,0.7593429158110883,0.7564343079543265,Transformer
distilbert-base-multilingual-cased,0.7453798767967146,0.7413259655990209,0.7453798767967146,0.7421002145328645,Transformer
xlm-roberta-base,0.7404517453798768,0.7379241295755469,0.7404517453798768,0.7368856648189204,Transformer
Complement Naive Bayes,0.7154,0.7416,0.6675,0.7079,Baseline (TF-IDF)
